rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
131072,262144,139.17999,14.93836,0.13893,14.84187,0,18,1.3236022145457411,131072x262144
8192,262144,176.17306,14.90892,0.09169,14.84749,0,18,1.3231012110464462,8192x262144
262144,262144,174.14012,14.95239,0.14222,14.86909,0,18,1.3211791710185357,262144x262144
32768,262144,152.72659,14.9391,0.11223,14.86935,0,18,1.3211560693641617,32768x262144
16384,262144,159.51727,14.97964,0.11854,14.89552,0,18,1.3188349248633147,16384x262144
65536,262144,150.11144,15.03359,0.13411,14.93831,0,18,1.315057191877796,65536x262144
0,0,0.0,15.10239,0.16216,14.99869,0,18,1.3097631859849093,No Tiling
262144,131072,160.99427,17.98556,0.02874,17.96753,0,18,1.093346275197537,262144x131072
131072,131072,177.7198,18.00286,0.03033,17.98288,0,18,1.0924130061480697,131072x131072
65536,131072,178.51289,18.0484,0.02493,18.03516,0,18,1.0892463388181752,65536x131072
16384,131072,205.06232,18.09043,0.01645,18.07868,0,18,1.0866242446904308,16384x131072
32768,131072,184.35816,18.10249,0.02397,18.09376,0,18,1.0857186123834957,32768x131072
8192,131072,214.90263,18.30911,0.01687,18.30398,0,18,1.0732492059104086,8192x131072
32768,65536,220.06149,22.3758,0.02881,22.36467,0,18,0.8783823772047609,32768x65536
16384,65536,233.38327,22.46615,0.03375,22.44456,0,18,0.8752558303660218,16384x65536
65536,65536,207.88122,22.6388,0.01442,22.63223,0,18,0.8679980717764003,65536x65536
8192,65536,254.76179,22.66881,0.02278,22.65299,0,18,0.8672026076910818,8192x65536
131072,65536,209.00833,23.34838,0.03064,23.32863,0,18,0.842086826358856,131072x65536
262144,65536,206.74022,25.89587,0.01874,25.88671,0,18,0.7588732596764903,262144x65536
262144,32768,242.17779,29.40207,0.02262,29.39746,0,18,0.6682458960740145,262144x32768
32768,32768,293.17662,29.75728,0.01917,29.74936,0,18,0.6603413317126823,32768x32768
65536,32768,272.07927,30.03435,0.05861,30.01703,0,18,0.654452888910062,65536x32768
131072,32768,226.53368,30.6137,0.04083,30.59935,0,18,0.6419983431020594,131072x32768
8192,32768,341.92688,30.66189,0.01839,30.66048,0,18,0.6407183449182792,8192x32768
16384,32768,310.71862,31.22832,0.04612,31.20805,0,18,0.6294764331638792,16384x32768
65536,16384,333.38534,49.51984,0.04295,49.48377,0,18,0.39699343845466906,65536x16384
131072,16384,321.59995,49.5579,0.05944,49.53249,0,18,0.3966029569682445,131072x16384
32768,16384,359.79671,49.57925,0.02775,49.56382,0,18,0.39635225856279843,32768x16384
262144,16384,310.80308,49.81549,0.03493,49.79815,0,18,0.39448718476489586,262144x16384
16384,16384,390.03273,49.90532,0.03761,49.88536,0,18,0.39379753899741327,16384x16384
8192,16384,419.91286,50.16131,0.04771,50.14489,0,18,0.3917593996118049,8192x16384
131072,8192,391.84041,77.86785,0.03325,77.86154,0,18,0.25230340935974294,131072x8192
65536,8192,420.78197,77.91684,0.07205,77.91197,0,18,0.25214010119369334,65536x8192
262144,8192,372.32255,77.93418,0.04029,77.91217,0,18,0.2521394539518024,262144x8192
32768,8192,440.05271,78.05177,0.05596,78.02524,0,18,0.2517740669557697,32768x8192
16384,8192,472.90464,78.22318,0.02204,78.21526,0,18,0.25116239465291046,16384x8192
8192,8192,516.03747,78.79734,0.03084,78.78989,0,18,0.2493306184334056,8192x8192
